Name,Reviews_Count,Followers,Rating,Review,Processed_Review,Sentiment,Issue_Category,Topic
Payal Suvanam,0 reviews,6 Followers,5.0,"Asif / Sonalika

Thank you an awesome service . These guys were just amazing.
Thank you for an excellent experience first time was just great 🤩🤩🤩🤩🤩",asif sonalika thank awesome service guys thank excellent experience first time great,Positive,Service,Service
Ayushi Mittal,0 reviews,0 Followers,5.0,,nan,Neutral,General,Food
Dolly Singhvi,0 reviews,5 Followers,5.0,"Everything I ordered was delicious
Iced mocha 5/5
Baked vada pav 5/5
Mysore pak cheesecake 6/5 (very delicious)
Water bottle was the best 😅
Loved the detailings
Staff is very courteous 🫶",everything ordered delicious iced mocha baked vada pav mysore pak cheesecake water bottle best loved detailings staff courteous,Positive,"Service, Food Quality",Food
Shaan,0 reviews,3 Followers,5.0,Priti is very nice :) food was also great :),priti nice food also great,Positive,Food Quality,Service
Ishita Gandhi,0 reviews,1 Followers,5.0,,nan,Neutral,General,Food
Minal Sharma Vadodaria,0 reviews,2 Followers,5.0,I live behind & it’s my go to place for coffee or a quick meet. Their baked vada pav are yummy along with all the nice small treats. I just wish it was bigger place where I could come and work. Sharing a photo with my take away coffee enjoyed with sunrise. Love it! 🫶❤️,live behind go place coffee quick baked vada pav yummy along nice small wish bigger place could come sharing photo take away coffee enjoyed love,Positive,"Food Quality, Timing, Location",Food
Puneet Agarwal,0 reviews,0 Followers,5.0,delivery guy shankar really nice,delivery guy shankar really nice,Positive,General,Service
Param Detroja,0 reviews,0 Followers,5.0,Best coffee place ever and the staff improves the experience of your coffee. Love it!!!,best coffee place ever staff improves experience love,Positive,"Service, Food Quality, Location",Service
Jasmin,0 reviews,0 Followers,5.0,Best coffee,best coffee,Positive,Food Quality,Service
Jeel,0 reviews,0 Followers,5.0,"Really fair priced, super cozy ambience, baked vada pao is a must try here",really fair super cozy baked vada pao must try,Positive,Location,Food
Manav Makhija,0 reviews,85 Followers,5.0,"The place is my all time fav🫶🏻
Today even when the place was full the staff made sure that we get the table, and made sure we are comfortable. Special mention for Asif, who really made us feel warm and comfy, thanks to him",place time today even place full staff made sure get made sure special mention really made us feel warm thanks,Positive,"Service, Location",Food
Nandini Wagle,0 reviews,1 Followers,5.0,Great coffee and ambience! Asif helped us and made our experience so much better. Please do visit and have a taste of their menu 10/10 recommend!!,great coffee asif helped us made experience much please visit taste menu,Positive,Food Quality,Location
Harshika,0 reviews,0 Followers,5.0,Very good coffee and service by asif,good coffee service asif,Positive,"Service, Food Quality",Service
Kanishka Porwal,0 reviews,0 Followers,5.0,Asif and sonalika are amazing and very helpful,asif sonalika amazing helpful,Positive,General,Service
Ayushi Mittal,0 reviews,0 Followers,5.0,The coffee and vibe of the space is really good asif served really well,coffee vibe space really good asif served really well,Positive,Food Quality,Service
Heesha Panchal,0 reviews,0 Followers,5.0,"great experience, good coffee and service by asif",great good coffee service asif,Positive,"Service, Food Quality",Service
Sahely,0 reviews,3 Followers,5.0,Coffee was really good. Asif's service was great.,coffee really service,Positive,"Service, Food Quality",Service
Anup Kulkarni,0 reviews,266 Followers,5.0,A nice little place for coffee. The menu is full of international coffees with a South Indian twist. And the service is also great. Asif was quick to serve us and suggest good coffees. A must go for coffee lovers,nice little place menu full international coffees south indian service also asif quick serve us suggest good must go coffee lovers,Positive,"Service, Food Quality, Timing, Location",Service
Dhwani,0 reviews,0 Followers,5.0,Asif bhai had such a wonderful vibe- he served us with such warmth. Excellent coffee. Good ambience.,asif bhai wonderful served us excellent good,Positive,General,Service
Rasheedul Haq,0 reviews,1 Followers,5.0,Asif was really very helpful and friendly with the order and the service,asif really helpful friendly order service,Positive,Service,Service
Vedant,0 reviews,1 Followers,5.0,"Asif provided excellent service, and the food, particularly the Mushroom edemunchi croissant, was outstanding.",asif provided excellent particularly mushroom edemunchi,Positive,General,Service
Natasha Malhotra,0 reviews,0 Followers,5.0,"Very good quality coffee , service and snacks !!!!",good quality coffee service snacks,Positive,"Service, Food Quality",Service
Satish Bhatia,0 reviews,1 Followers,5.0,sonalika was great n patient guiding exotic menu,sonalika great n patient guiding exotic menu,Positive,General,Location
Shivam Dodai,0 reviews,1 Followers,5.0,Great place. Asif was helpful,great asif helpful,Positive,General,Service
Gursimar Kaur,0 reviews,0 Followers,5.0,"Loved the vibe here! The food was a 10/10, we were served by Asif who did an amazing job.",loved vibe food served asif amazing,Positive,Food Quality,Service
Agrawalpalak417,0 reviews,0 Followers,5.0,loved the service by asif. ettarra has always been my go to place.,loved service ettarra always go,Positive,Service,Service
Priyanka Tukadiya,0 reviews,288 Followers,5.0,Great service by Asif and good ambience to hang out and have comfortable drinks,great service asif good ambience hang comfortable drinks,Positive,"Service, Location",Service
Shashank Singh,0 reviews,1 Followers,5.0,"Asif’s hospitality, latte coffee and food. Everything about this place is truly amazing. ;)",latte coffee everything place truly,Neutral,"Food Quality, Location",Food
Ami Lodriya,0 reviews,6 Followers,5.0,Asif was really kind and suggested us to try their new best seller and we had a good time here. Do try,asif really kind suggested us try new best seller good time try,Positive,General,Service
Rushabh Sanghavi,0 reviews,1 Followers,1.0,"Staff is really good , asif helped us to choose the best coffee for us",staff really good asif helped us choose best coffee us,Positive,"Service, Food Quality",Service
Seeran Jain,0 reviews,0 Followers,1.0,Really good service by Asif,really good service asif,Positive,Service,Service
Hardik Mehta,0 reviews,0 Followers,1.0,"WHAT A PLACE! The food, the service, the ambiance. And value for money for real! Highly recommended. ALSO THE SERVICE BY ASIF BHAIYA, HANDS DOWN THE BEST SERVER!",value money highly also service asif hands best,Positive,Service,Service
Saransh Ahuja,0 reviews,100 Followers,1.0,"To sum it up - A waste of such good ambience and 24x7 coffee shop. A wish to have some great filter coffee outdoors in the middle of the night were squashed. The filter coffee was very bad. It was awful !! It’s an insult in the name of any coffee. Cycle wala Rs. 10 coffee is better than the filter coffee here. Plus my stomach has been upset since last night after having the coffee, must be the bad milk. Not only me , but my friends also felt the same. Never going back, you were a major disappointment",sum waste good ambience coffee wish great filter coffee outdoors middle night filter coffee awful insult name cycle wala coffee better filter coffee plus stomach upset since last night must bad friends also felt never going major disappointment,Negative,"Food Quality, Location",Location
Naitik,0 reviews,0 Followers,1.0,Rude staff,rude staff,Negative,Service,Location
Riya Agrawal,0 reviews,0 Followers,5.0,Ettara is always fun to visit. The ambiance and food is also good. Asif was very sweet while serving us,ettara always fun ambiance food also asif sweet serving us,Positive,Food Quality,Service
Mansi Agarwal,0 reviews,1 Followers,5.0,Asif was our server he is very polite and very helpful a must visit place if you are in Juhu,asif server polite helpful must visit place juhu,Neutral,"Service, Location",Service
Hetvi Desai,0 reviews,0 Followers,5.0,Asif made the best bon bon frappe,asif made best bon bon frappe,Positive,General,Service
Raj,0 reviews,0 Followers,5.0,"Asif, Loved the service",loved service,Positive,Service,Service
Sweta,0 reviews,64 Followers,5.0,"In one word, Impressive! it was a feel good experience with the delight of this Cafe's hospitality, ambience, the copper cutleries, wholesome baked banana wafers yumm!, the water packaging in glass bottle, the baked wada pav ....must try! pipen hot in mumbai winter nights... everything was perfect. coffee was well-brewed and perfect! the berliners were oh so yummy! it was a perfect evening well spent. Our server Asif was super helpful and hospitable to add smile to our visit.",one feel good experience delight copper wholesome baked banana wafers water packaging glass baked wada pav pipen hot mumbai winter everything coffee berliners oh perfect evening well server asif super helpful hospitable add smile,Positive,Food Quality,Food
Navya Kumar,0 reviews,0 Followers,5.0,Great service by Asif. Thanks Ettara,great service thanks ettara,Positive,Service,Location
Parth Pahuja,0 reviews,0 Followers,5.0,"Very good customer service, staff (Asif) was very humble",good customer staff humble,Positive,Service,Location
Taksha Goyal,0 reviews,0 Followers,5.0,"It was a great experience, came here 2-3 times but leaving a review for the first time. The service was amazing as well as the staff!!
Shout out to Asif, for fixing our drink!",great came times leaving review first service amazing well shout fixing,Positive,"Service, Location",Timing
Purti Mehra,0 reviews,1 Followers,5.0,"Loved the place and coffee!!! Our server, Asif was a great help at the restaurant",loved place asif great help restaurant,Positive,Location,Service
Divy Agrawal,0 reviews,0 Followers,5.0,Asif suggested the best coffee.,asif suggested best,Positive,General,Service
Akash,0 reviews,14 Followers,5.0,"very polite staff, Asif and amazing coffee",polite asif amazing coffee,Positive,"Service, Food Quality",Service
Manas Chabria,0 reviews,2 Followers,5.0,Asif is really amazing !!,asif really amazing,Positive,General,Service
Jaya Gangwani,0 reviews,1 Followers,5.0,"Such good coffee + Banana chips.
I would definitely visit to try more things.",good coffee banana would definitely visit try,Positive,Food Quality,Food
Sanjana Kotian,0 reviews,0 Followers,5.0,Good service by Priti,good service priti,Positive,Service,Timing
Tanmay Agrawal,0 reviews,0 Followers,5.0,Great service by Asif!,great service,Positive,Service,Service
Shrey Agarwal,0 reviews,1 Followers,5.0,Asif was great!,asif,Neutral,General,Service
Yash,0 reviews,0 Followers,5.0,Asif bhai was a great person and had impeccable serving etiquettes. Our group of friends have been regularly visiting this place for the vibe and variants of coffee being served here.,asif bhai great person impeccable serving group friends regularly visiting place vibe variants coffee served,Positive,"Food Quality, Location",Service
Zzzzzzz,0 reviews,1 Followers,5.0,Asif,asif,Neutral,General,Service
Vidhi Agarwal,0 reviews,0 Followers,5.0,amazing service by asif,amazing service asif,Positive,Service,Service
Sakshi Satardekar,0 reviews,0 Followers,5.0,Asif is great with his service. Great food,asif great great food,Positive,Food Quality,Service
Bhushan Dixit,0 reviews,0 Followers,5.0,ASIF,asif,Neutral,General,Service
Madhur,0 reviews,0 Followers,5.0,"Beautiful ambiance, delicious food, loved the experience. Asif helped us throughout the dining experience. Thanks to him!",beautiful delicious loved asif helped us throughout dining thanks,Positive,Food Quality,Location
Hetu Mehta,0 reviews,12 Followers,5.0,Great service by Asif!,great service,Positive,Service,Service
Hitesh Patel,0 reviews,0 Followers,5.0,Asif is great service,asif great service,Positive,Service,Service
Shreyan,0 reviews,300 Followers,5.0,,nan,Neutral,General,Food
Reyaansh Kataria,0 reviews,0 Followers,5.0,"Great staff , thanks to Asif bhai",great staff thanks asif bhai,Positive,Service,Service
Heth,0 reviews,0 Followers,5.0,Asif coperate and excellent staff,asif coperate excellent staff,Positive,Service,Service
Arwa Noorani,0 reviews,4 Followers,5.0,Great vibe and amazing hot chocolate. Asif and Sonalika made it a point to offer a fun and pleasant service! :),great vibe amazing hot asif sonalika made point offer fun pleasant,Positive,General,Service
Sujash Baid,0 reviews,113 Followers,5.0,Great service and amazing coffee - Asif was attentive,great service amazing coffee asif attentive,Positive,"Service, Food Quality",Service
Radhika Sachdev,0 reviews,79 Followers,5.0,"As always great coffee! the service was extremely good, thanks to Asif... Very humble..",always great service extremely thanks,Positive,Service,Location
Srishti Agrawal,0 reviews,0 Followers,5.0,"Asif- Good service, amazing coffee",good amazing coffee,Positive,Food Quality,Service
Khushi Agrawal,0 reviews,0 Followers,5.0,Asif it’s was an amazing taste and the service of nice.,asif amazing taste service,Positive,Service,Service
Kamyaa Chaturvedi,0 reviews,0 Followers,5.0,"Asif, our server was incredibly kind and attentive. Had a good time!",server incredibly kind good,Positive,General,Service
Jiya Thakkar,0 reviews,0 Followers,5.0,"Great hospitality by Asif,",great hospitality,Positive,General,Location
Suvansh Agarwal,0 reviews,0 Followers,5.0,Asif was really good,asif really good,Positive,General,Service
Kanchi Agrawal,0 reviews,42 Followers,5.0,The service was really good. Specially do ask for asif he gives amazing service.,service really specially ask asif gives amazing,Positive,Service,Service
Parth Chheda,0 reviews,36 Followers,5.0,Asif great service,asif great service,Positive,Service,Service
Arijeet Singh,0 reviews,0 Followers,5.0,Asif bro was amazing,asif bro amazing,Positive,General,Service
Tanya,0 reviews,0 Followers,5.0,Asif was our server really good service and great coffee and food. Love it.,asif server really good service great coffee love,Positive,"Service, Food Quality",Service
Dhanush K,0 reviews,1 Followers,5.0,"asif was a lovely server, and great coffee",asif lovely great coffee,Positive,Food Quality,Location
Raunak,0 reviews,2 Followers,5.0,The coffee was good. Great service by Asif Sheikh! Would recommend totally!,coffee great service asif would recommend,Positive,"Service, Food Quality",Service
Jayanti Dhawan,0 reviews,1 Followers,5.0,I have been here a lot since I arrived in Bombay … nice ambience… nice atmosphere and coffee too amazing.. it’s like a CENTRAL PERK for me and my friends.. iykyk and Ashif here is such a good person. Love to recommend it to others..,lot since arrived bombay nice nice atmosphere coffee like central perk iykyk ashif good love recommend,Positive,Food Quality,Timing
Prity Agarwal,0 reviews,0 Followers,5.0,Great service by Asif and Sonalika,great service asif sonalika,Positive,Service,Service
Aditya Poddar,0 reviews,7 Followers,5.0,Great hospitality from Asif and sonalika,great hospitality asif sonalika,Positive,General,Service
Natasha Malhotra,0 reviews,0 Followers,5.0,,nan,Neutral,General,Food
Farida,0 reviews,0 Followers,5.0,Moin suggested us the coffee named South Indian frappe which was outstanding and amazing enjoyed a lot willing to visit again for sure,moin suggested us coffee named south indian frappe outstanding amazing enjoyed lot willing visit sure,Positive,Food Quality,Food
Dhwani Thakkar,0 reviews,0 Followers,5.0,"Moin served us; great iced latte; outstanding ambience ,Europe vibe to the cafe.",moin served great iced outstanding ambience vibe,Positive,Location,Location
Samyak Kochar,0 reviews,0 Followers,5.0,Good service by Manoj,good service manoj,Positive,Service,Service
Bhoomika Wadhwani,0 reviews,0 Followers,5.0,"the food as well as the coffee was very worthy and tasty, also the staff is very kind and friendly.",food well coffee worthy also staff kind,Positive,"Service, Food Quality",Service
Utsah Agrawal,0 reviews,0 Followers,5.0,Asif/sonalika served us very well. Vietnamese coffee and burliner were great,served us vietnamese coffee burliner great,Positive,Food Quality,Location
Priyanshi Somani,0 reviews,0 Followers,5.0,Asif and Sonalika were great at the services and always on their toes for us. Loved the experience,asif sonalika great services always toes loved experience,Positive,Service,Service
Himanshu Kumar,0 reviews,1 Followers,5.0,"Had a great experience here, complementary snacks as well, Asif and Sonalika were wonderful :)",great experience complementary snacks asif sonalika wonderful,Positive,General,Service
Shivani,0 reviews,1743 Followers,5.0,Asif and Sonalika were very friendly and helpful. The place has a good vibe and their hospitality made it a comfortable evening to catch up with friends,asif sonalika friendly place good vibe hospitality made comfortable evening catch friends,Positive,"Service, Location",Service
Diya Lulla,0 reviews,185 Followers,5.0,"Asif and Sonalka were really nice. They gave us the best service. Overall, it’s the best place!",asif sonalka really gave us best best,Positive,General,Service
Sanchit Agarwal,0 reviews,0 Followers,5.0,Asif and Sonalika are extremely helpful and friendly.,asif sonalika extremely helpful,Negative,General,Service
Anukratidosi,0 reviews,2 Followers,5.0,"Asif and Sonalika made sure we had a good time, and beverage to our liking",asif sonalika made sure good beverage liking,Positive,General,Service
Aditivaishnav,0 reviews,0 Followers,5.0,Asif was really good,asif really good,Positive,General,Service
Avnishbahadur,0 reviews,1 Followers,5.0,"Asif/sonalika had great knowledge about coffee and the menu and were Very courteous. Great coffee, food, ambiance and hospitality.",great knowledge coffee menu great ambiance,Positive,Food Quality,Location
Anurag,0 reviews,78 Followers,5.0,"One of a kind 24x7 cafe in Juhu, with outdoor seating on walkway to enjoy evening during Bombay winters. Well priced coffee and great staff; specially Asif who has been helpful on our every visit.",one kind cafe outdoor seating walkway enjoy evening bombay well priced coffee great specially asif helpful every,Positive,Food Quality,Service
Chris Mathai,0 reviews,39 Followers,5.0,amazing place especially our server asif was very helpful,amazing place especially server asif helpful,Positive,Location,Service
Sampada Chaudhari,0 reviews,0 Followers,5.0,"Had great experience at etara coffee
Great service from Sonalika. & asif",great experience etara coffee great service asif,Positive,"Service, Food Quality",Service
Dhruvi Kothari,0 reviews,0 Followers,5.0,Asif and Sonalika were great with the service and were very sweet,asif sonalika great service sweet,Positive,Service,Service
Vartika,0 reviews,3 Followers,5.0,Asif and Sonalika - They served us well and were very kind. The food is very good. Must visit.,asif sonalika served us well food must,Neutral,Food Quality,Service
Vedant Tibrewala,0 reviews,16 Followers,5.0,"Asif and Sonalika were our servers and they were really sweet, prompt and helpful. Great quality of coffee and food. It's one of the best coffee shops I've been to in mumbai. Would highly recommend.",asif sonalika servers really prompt great quality coffee one best coffee shops would highly,Positive,Food Quality,Service
Ishit Lapsiya,0 reviews,0 Followers,5.0,Asif and sonalika gave best service!!,asif sonalika gave best,Positive,General,Service
Siddarth Shrikhande,0 reviews,4 Followers,5.0,Asif and Sonalika from Ettarra provide the best service and coffee place in Mumbai,asif sonalika ettarra provide best service coffee place mumbai,Positive,"Service, Food Quality, Location",Service
Dipen Parekh,0 reviews,0 Followers,5.0,ASIF SONALIKA gave great service and made our experience enjoyable,asif sonalika gave great service made experience enjoyable,Positive,Service,Service
Nidhi Pawar,0 reviews,1 Followers,5.0,Loved the vibe. Manoj is very helpful and kind. Good service.,loved manoj helpful good,Positive,General,Service
Jahanvi Arya,0 reviews,0 Followers,5.0,"great service, great atmosphere and great service, especially by our Manoj bhaiya, he is really helpful and sweet in the way he goes about catering to the customers.",great great atmosphere great especially manoj really helpful sweet way goes catering,Positive,General,Location
Avani Patel,0 reviews,0 Followers,5.0,thank you for giving good coffee and food very nice service by Manoj,thank giving good coffee food nice service manoj,Positive,"Service, Food Quality",Service
Rushabh Patel,0 reviews,10 Followers,5.0,I visited this place with my friend and the server name Asif give me great recommendations and treat us very nicely,visited place friend server name asif give great recommendations treat us nicely,Positive,Location,Service
Sneha,0 reviews,0 Followers,5.0,"Lovely experience, great coffee great staff. Special thanks to Asif sheikh so friendly and sweet",lovely great coffee great special thanks asif sheikh friendly sweet,Positive,"Service, Food Quality",Location
Dhriti,0 reviews,0 Followers,5.0,Asif was very helpful and great service provided,asif helpful great service provided,Positive,Service,Service
Alice,0 reviews,0 Followers,5.0,"Had a really great time at ettarra and the service was amazing. Asif was a great help to recommend some of the best stuff on menu . also ICED americano is must try, here .",really great time ettarra service asif great help recommend best stuff menu also iced americano must,Positive,Service,Service
